films,scores,film_time,arrts,counties
姊姊妹妹站起来,9.1,1951,剧情,中国大陆
绣春刀,7.7,2014,"剧情,动作,武侠,古装",中国大陆
天使之城,7.9,1998,"剧情,爱情,奇幻","美国, 德国"
硫磺岛的来信,8.2,2006,"剧情,历史,战争",美国
高地战,8.5,2011,"剧情,战争",韩国
活埋,7.9,2010,"剧情,悬疑,惊悚","西班牙, 英国, 美国, 法国"
解救吾先生,7.7,2015,"剧情,犯罪",中国大陆
喜福会,8.4,1993,"剧情,爱情",美国
智取威虎山,7.7,2014,"剧情,动作,战争,冒险","中国大陆, 中国香港"
罗曼蒂克消亡史,7.7,2016,剧情,"中国大陆, 中国香港"
布拉格之恋,8.2,1988,"剧情,爱情",美国
男与女,8.1,2016,"剧情,爱情",韩国
与神同行：罪与罚,7.8,2017,"剧情,奇幻",韩国
铁皮鼓,8.3,1979,"剧情,历史,战争","西德, 波兰, 法国, 南斯拉夫"
每当变幻时,8.0,2007,"喜剧,剧情,爱情","中国大陆, 中国香港"
宾虚,8.7,1959,"剧情,动作,历史,战争,冒险",美国
祖与占,8.4,1962,"剧情,爱情",法国
迫在眉梢,8.3,2002,"剧情,犯罪,惊悚",美国
恐袭波士顿,8.0,2017,"剧情,历史,惊悚",美国
午夜巴塞罗那,7.8,2008,"剧情,爱情","西班牙, 美国"
神奇动物在哪里,7.7,2016,"剧情,奇幻,冒险","英国, 美国"
刀,8.1,1995,"剧情,动作,武侠","中国香港, 中国大陆"
芬妮的旅程,8.6,2016,"剧情,战争","法国, 比利时"
怒火救援,8.1,2004,"动作,剧情,惊悚","美国, 英国"
沙丘,7.7,2021,"剧情,科幻,冒险",美国
过春天,7.7,2019,剧情,中国大陆
狙击手,7.7,2022,"剧情,历史,战争",中国大陆
托斯卡纳艳阳下,8.1,2003,"喜剧,剧情,爱情","美国, 意大利"
十月围城,7.7,2009,"动作,剧情,历史","中国香港, 中国大陆"
骡子,7.9,2019,"剧情,犯罪",美国
第六感生死缘,8.0,1998,"剧情,奇幻,悬疑,爱情",美国
迷失东京,7.8,2003,"剧情,爱情","美国, 日本"
倒数时刻,8.2,2021,"剧情,传记,歌舞",美国
红磨坊,7.9,2001,"剧情,歌舞,爱情","澳大利亚, 美国"
唐顿庄园,8.0,2019,剧情,"英国, 美国"
练习曲,8.0,2006,剧情,中国台湾
艋舺,7.7,2010,"剧情,动作,犯罪",中国台湾
一秒钟,7.7,2020,剧情,中国大陆
处女泉,8.6,1960,"犯罪,剧情",瑞典
欢迎来到东莫村,8.2,2005,"喜剧,剧情,战争",韩国
十七岁的单车,7.8,2001,剧情,"中国大陆, 中国台湾, 法国"
白兔糖,8.0,2011,"剧情,喜剧",日本
边境风云,7.8,2012,"剧情,犯罪",中国大陆
裁缝,7.9,2015,剧情,澳大利亚
投奔怒海,8.5,1982,剧情,中国香港
灰猎犬号,7.8,2020,"剧情,战争","美国, 加拿大, 中国大陆"
如果·爱,7.7,2005,"剧情,歌舞,爱情","中国大陆, 中国香港, 马来西亚"
寻枪,7.8,2002,"犯罪,剧情,悬疑",中国大陆
癫佬正传,8.6,1986,剧情,中国香港
投名状,7.7,2007,"剧情,动作,战争,古装","中国大陆, 中国香港"
神秘巨星,7.7,2018,"剧情,音乐",印度
2046,7.7,2004,"剧情,爱情,奇幻","中国香港, 中国大陆, 法国, 意大利, 德国"
罗斯玛丽的婴儿,8.2,1968,"剧情,恐怖",美国
玻璃之城,7.9,1998,"剧情,爱情",中国香港
中南海保镖,7.8,1994,"剧情,动作",中国香港
奇迹,8.1,1989,"动作,喜剧,犯罪,剧情",中国香港
假面,8.8,1966,"剧情,惊悚",瑞典
欲望号街车,8.4,1951,剧情,美国
一条狗的使命,7.7,2017,"剧情,喜剧,家庭",美国
青春梦工场,8.0,2005,"喜剧,剧情,爱情",中国香港
姐姐的守护者,8.2,2009,"剧情,家庭",美国
布鲁克林,7.9,2015,"剧情,爱情","英国, 加拿大, 爱尔兰"
米尔克,8.3,2008,"剧情,传记,同性",美国
地雷战,8.1,1963,"剧情,战争",中国大陆
拆弹部队,7.8,2008,"剧情,惊悚,战争",美国
裂缝,8.0,2009,"剧情,惊悚","英国, 爱尔兰, 西班牙, 法国, 瑞士"
冰血暴,8.0,1996,"犯罪,剧情,惊悚","美国, 英国"
只是爱着你,7.9,2006,"剧情,爱情",日本
夜半歌声,7.9,1995,"剧情,爱情,惊悚,音乐","中国香港, 中国大陆, 新加坡"
不能没有你,8.2,2009,"剧情,家庭",中国台湾
训练日,8.0,2001,"犯罪,剧情,惊悚",美国
戴珍珠耳环的少女,7.8,2003,"传记,剧情,爱情","英国, 卢森堡, 法国, 比利时, 美国"
光荣的愤怒,8.2,2006,剧情,中国大陆
椿三十郎,8.8,1962,"剧情,喜剧,动作,犯罪,惊悚",日本
一个勺子,7.7,2015,"剧情,喜剧",中国大陆
天生杀人狂,7.9,1994,"剧情,动作,犯罪",美国
偷心,7.8,2004,"剧情,爱情","美国, 英国"
我和我的祖国,7.6,2019,剧情,中国大陆
何处是我朋友的家,8.9,1987,剧情,伊朗
猩球崛起2：黎明之战,7.7,2014,"剧情,动作,科幻",美国
巴尔扎克与小裁缝,8.0,2002,"传记,剧情,爱情","中国大陆, 法国"
婚姻生活,9.1,1973,"剧情,爱情",瑞典
漫长的婚约,8.1,2004,"剧情,悬疑,爱情,战争","法国, 美国"
蓝莓之夜,7.7,2007,"剧情,爱情","美国, 法国, 中国大陆, 中国香港"
锅匠，裁缝，士兵，间谍,7.9,2011,"剧情,悬疑,惊悚","英国, 法国, 德国"
孩子王,8.2,1987,剧情,中国大陆
黑金,7.8,1997,"剧情,动作,犯罪",中国香港
女性瘾者：第一部,7.9,2013,"剧情,情色","丹麦, 德国, 法国, 比利时, 英国"
小鹿斑比,8.6,1942,"剧情,动画",美国
潜行者,8.8,1980,"剧情,科幻,悬疑",苏联
悬崖之上,7.6,2021,"剧情,动作,悬疑","中国大陆, 中国香港"
鲁冰花,8.8,1989,"家庭,剧情",中国台湾
突袭2：暴徒,8.1,2014,"剧情,动作,犯罪","印度尼西亚, 美国"
冬天的故事,8.5,1992,"剧情,爱情",法国
纯真年代,8.2,1993,"剧情,爱情",美国
星运里的错,7.9,2014,"剧情,爱情",美国
七月与安生,7.6,2016,"剧情,爱情","中国大陆, 中国香港"
中国合伙人,7.6,2013,剧情,"中国大陆, 中国香港"
将来的事,8.2,2016,剧情,"法国, 德国"
猜火车2,8.0,2017,"剧情,犯罪",英国
生死狙击,7.8,2007,"剧情,动作,惊悚",美国
五亿探长雷洛传1：雷老虎,7.9,1991,"动作,犯罪,剧情,爱情",中国香港
耳朵大有福,8.1,2008,"剧情,喜剧,家庭","中国大陆, 韩国"
爱再来一次,8.0,2004,"喜剧,剧情,奇幻,爱情","美国, 英国"
理发师陶德,7.8,2007,"剧情,恐怖,歌舞","美国, 英国"
夏天的故事,8.3,1996,"剧情,爱情",法国
弗兰兹,8.4,2016,"剧情,历史,爱情,战争","法国, 德国"
冈仁波齐,7.7,2017,剧情,中国大陆
狗狗与我的十个约定,8.1,2009,"剧情,喜剧,爱情",日本
红河谷,7.9,1999,"剧情,历史,爱情,战争",中国大陆
借着雨点说爱你,8.5,2004,"剧情,奇幻,爱情",日本
华尔街,8.2,1987,"犯罪,剧情",美国
不夜城,8.3,1998,"剧情,爱情","中国香港, 日本"
成事在人,8.3,2009,"传记,剧情,历史,运动",美国
边境杀手,7.7,2015,"剧情,犯罪,惊悚","美国, 墨西哥, 中国香港"
暖春,8.1,2003,"剧情,家庭",中国大陆
时间旅行者的妻子,7.7,2009,"剧情,奇幻,悬疑,爱情",美国
飞鹰艾迪,8.1,2016,"剧情,喜剧,传记,运动","英国, 美国, 德国"
一个都不能少,7.7,1999,剧情,中国大陆
双瞳,7.7,2002,"剧情,犯罪,悬疑,惊悚","中国香港, 中国台湾"
信条,7.6,2020,"剧情,动作,科幻","美国, 英国"
深夜食堂电影版,7.9,2014,剧情,日本
续命之徒：绝命毒师电影,8.0,2019,"剧情,犯罪,惊悚",美国
喊山,8.4,2013,剧情,中国大陆
白日焰火,7.6,2014,"剧情,犯罪,悬疑",中国大陆
双重赔偿,8.5,1944,"剧情,犯罪,悬疑,惊悚,黑色电影",美国
赴汤蹈火,8.1,2016,"剧情,犯罪,西部",美国
夜奔,8.2,2000,"剧情,爱情,同性","中国台湾, 中国大陆"
寒战,7.6,2012,"剧情,动作,犯罪","中国香港, 中国大陆"
幸运是我,8.0,2016,"剧情,家庭","中国香港, 中国大陆"
吉祥如意,7.7,2021,"剧情,家庭",中国大陆
居家男人,8.2,2000,"剧情,喜剧,爱情,家庭,奇幻",美国
澄沙之味,8.3,2015,剧情,"日本, 法国, 德国"
人生遥控器,7.8,2007,"剧情,喜剧,家庭,奇幻",美国
英雄,7.6,2002,"剧情,动作,武侠,古装","中国大陆, 中国香港"
金猴降妖,9.2,1985,"剧情,动画,奇幻",中国大陆
孤独的幸存者,8.1,2013,"剧情,传记,动作,战争","美国, 英国"
驾驶我的车,7.9,2021,剧情,日本
看见恶魔,7.9,2010,"剧情,犯罪,惊悚",韩国
茜茜公主2,8.4,1956,"剧情,历史,爱情",奥地利
大决战之平津战役,8.8,1992,"剧情,历史,战争",中国大陆
窃听风云,7.6,2009,"动作,剧情,惊悚","中国香港, 中国大陆, 新加坡"
摇摆狂潮,8.2,2018,"剧情,战争,歌舞",韩国
浪客剑心：传说的完结篇,8.2,2014,"剧情,动作",日本
摔角王,8.3,2008,"剧情,传记,运动","美国, 法国"
暮光之城,7.6,2009,"剧情,爱情,惊悚,奇幻",美国
扫毒,7.6,2013,"剧情,动作,犯罪,悬疑","中国大陆, 中国香港"
娜娜,7.8,2005,"剧情,音乐",日本
人狗奇缘,8.4,2006,"剧情,儿童",韩国
甘地传,8.5,1982,"传记,剧情,历史","英国, 印度, 美国"
飞向太空,8.7,1972,"剧情,科幻,悬疑",苏联
海角七号,7.6,2009,"喜剧,剧情,爱情",中国台湾
雪国列车,7.6,2014,"剧情,动作,科幻","韩国, 捷克"
日日是好日,8.2,2018,剧情,日本
雨果,7.7,2012,"剧情,儿童,奇幻,冒险","英国, 美国, 法国"
绝美之城,8.2,2013,剧情,"意大利, 法国"
窃听风云2,7.6,2011,"剧情,动作,犯罪,悬疑","中国香港, 中国大陆"
忘不了,7.8,2003,"剧情,爱情",中国香港
马戏之王,7.7,2018,"剧情,传记,歌舞",美国
浪客剑心 最终章 追忆篇,8.5,2021,"剧情,动作,冒险",日本
007：大战皇家赌场,7.7,2007,"剧情,动作,惊悚,冒险","英国, 捷克, 美国, 德国, 巴哈马"
大佬,8.4,2000,"犯罪,剧情,惊悚","日本, 英国, 美国"
处子之山,8.5,2015,"剧情,爱情","冰岛, 丹麦"
小委托人,8.1,2019,"剧情,犯罪",韩国
爱情短片,8.8,1988,"剧情,爱情",波兰
客途秋恨,8.5,1990,"剧情,家庭","中国香港, 中国台湾"
赌城风云,8.3,1995,"传记,犯罪,剧情","美国, 法国"
摇摆少女,8.4,2004,"剧情,喜剧,音乐",日本
交响情人梦 最终乐章 前篇,8.5,2009,"喜剧,剧情,音乐",日本
总有一天,8.7,2016,剧情,丹麦
上车走吧,8.1,2000,剧情,中国大陆
乌云背后的幸福线,7.7,2012,"剧情,喜剧,爱情,家庭",美国
古惑仔2之猛龙过江,7.7,1996,"动作,剧情",中国香港
没完没了,7.7,1999,"剧情,喜剧",中国大陆
朝圣之路,8.4,2010,"剧情,喜剧,冒险","美国, 西班牙"
东方快车谋杀案,8.2,2010,"剧情,犯罪,悬疑",英国
古惑仔3之只手遮天,7.7,1996,"动作,剧情",中国香港
踏血寻梅,7.6,2015,"剧情,犯罪,悬疑",中国香港
热带鱼,8.7,1995,"喜剧,剧情",中国台湾
鳄鱼波鞋走天涯,9.1,1995,"剧情,儿童",美国
小飞侠彼得潘,8.2,2003,"剧情,儿童,奇幻,冒险","英国, 澳大利亚, 美国, 新西兰"
我家买了动物园,7.8,2011,"剧情,喜剧,家庭",美国
紫色,8.7,1985,剧情,美国
爱情是狗娘,8.2,2000,"剧情,惊悚",墨西哥
金色池塘,8.8,1982,"剧情,家庭","英国, 美国"
地球之夜,8.2,1991,"喜剧,剧情","法国, 英国, 德国, 美国, 日本"
依然爱丽丝,8.0,2014,剧情,"美国, 法国"
南京！南京！,7.6,2009,"剧情,历史,战争","中国大陆, 中国香港"
迷恋荷尔蒙,8.6,2003,"剧情,爱情,犯罪,同性","美国, 加拿大"
悲惨世界,8.1,2019,"剧情,犯罪",法国
和你在一起,7.9,2002,"剧情,音乐",中国大陆
十三条命,8.5,2022,"剧情,传记,惊悚","美国, 加拿大, 英国"
误杀,7.5,2019,"剧情,犯罪,悬疑",中国大陆
汉江怪物,7.6,2007,"剧情,动作,科幻,恐怖",韩国
歌舞青春,7.7,2006,"剧情,喜剧",美国
战舰波将金号,8.7,1925,"剧情,历史,战争",苏联
八佰,7.5,2020,"剧情,历史,战争",中国大陆
处刑人,8.2,1999,"动作,犯罪,剧情,惊悚","美国, 加拿大"
老炮儿,7.5,2015,"剧情,犯罪",中国大陆
美国田园下的罪恶,8.3,2007,"犯罪,剧情",美国
无问西东,7.5,2018,"剧情,爱情,战争",中国大陆
气球,7.7,2020,剧情,中国大陆
犬之力,7.9,2021,"剧情,西部,同性","英国, 澳大利亚, 美国, 加拿大, 新西兰"
爱有来生,7.7,2009,"剧情,爱情",中国大陆
非常突然,8.0,1998,"犯罪,剧情",中国香港
可爱的你,7.9,2015,剧情,"中国香港, 中国大陆"
艺伎回忆录,7.6,2005,"剧情,爱情",美国
朱丽叶与梁山伯,8.2,2000,"剧情,爱情",中国香港
奔腾年代,8.4,2003,"剧情,历史,运动",美国
瑞士军刀男,7.8,2016,"剧情,喜剧,爱情,奇幻",美国
无主之地,8.6,2001,"剧情,战争","波黑, 斯洛文尼亚, 意大利, 法国, 英国, 比利时"
第36个故事,7.6,2010,"喜剧,剧情",中国台湾
保镖,7.9,1992,"剧情,动作,爱情,惊悚,音乐",美国
杀破狼,7.6,2005,"剧情,动作,犯罪","中国香港, 中国澳门"
狂人皮埃罗,8.4,1965,"剧情,爱情,犯罪","法国, 意大利"
新宿事件,7.6,2009,"剧情,犯罪",中国香港
法官老爹,8.0,2014,剧情,美国
一个陌生女人的来信,7.6,2005,"剧情,爱情",中国大陆
回归,8.2,2006,"喜剧,犯罪,剧情,悬疑",西班牙
猎鹿人,8.4,1978,"剧情,战争",美国
小公主,8.5,1995,"剧情,奇幻",美国
史崔特先生的故事,8.6,1999,"剧情,传记","法国, 英国, 美国"
分手的决心,7.6,2022,"剧情,犯罪,悬疑",韩国
宝贝计划,7.5,2006,"动作,喜剧,剧情","中国香港, 中国大陆"
想飞的钢琴少年,8.6,2010,"剧情,音乐",瑞士
洛丽塔,7.8,1962,"剧情,爱情,情色","美国, 英国"
宿敌,8.6,2022,剧情,印度
天空之眼,7.8,2017,"剧情,战争","英国, 加拿大"
最后的武士,7.9,2003,"动作,冒险,剧情,历史,战争","美国, 新西兰, 日本"
帕特森,8.1,2016,剧情,"美国, 法国, 德国"
爱情万岁,8.0,1994,"剧情,同性",中国台湾
女性瘾者：第二部,7.9,2013,"剧情,情色","丹麦, 德国, 比利时, 英国, 法国, 瑞典"
香火,8.4,2003,剧情,中国大陆
猎杀U-571,8.1,2000,"动作,剧情,战争","法国, 美国"
大白鲨,7.8,1975,"剧情,惊悚,冒险",美国
军舰岛,7.9,2017,"剧情,动作,历史",韩国
不良教育,8.3,2004,"剧情,犯罪,悬疑,惊悚,同性",西班牙
西线无战事,8.9,1930,"剧情,动作,历史,战争",美国
仙境之桥,7.9,2009,"剧情,奇幻,冒险",美国
成长教育,7.7,2009,剧情,"美国, 英国"
监狱风云2：逃犯,7.9,1991,"剧情,动作,犯罪",中国香港
我要复仇,7.9,2002,"剧情,动作,惊悚",韩国
新桥恋人,8.1,1991,"剧情,爱情",法国
蓝色情人节,7.8,2010,"剧情,爱情",美国
八月照相馆,8.0,1998,"剧情,爱情",韩国
甜蜜的生活,8.6,1960,"剧情,喜剧","意大利, 法国"
狐狸与我,8.5,2007,"剧情,儿童,冒险",法国
男孩别哭,8.2,1999,"剧情,爱情,犯罪",美国
呼喊与细语,8.6,1972,"剧情,爱情",瑞典
老手,7.7,2015,"剧情,动作,犯罪",韩国
金矿,8.2,2016,"剧情,惊悚,冒险",美国
飞越老人院,7.8,2012,"剧情,喜剧",中国大陆
神秘河,7.9,2003,"犯罪,剧情,悬疑,惊悚","美国, 澳大利亚"
她,7.7,2016,"剧情,惊悚","法国, 德国, 比利时"
曼哈顿,8.3,1979,"喜剧,剧情,爱情",美国
决战中途岛,7.5,2019,"剧情,历史,战争","中国大陆, 中国香港, 加拿大, 美国"
边缘日记,8.2,1995,"传记,犯罪,剧情,运动",美国
12怒汉：大审判,8.4,2007,"剧情,悬疑",俄罗斯
毒战,7.5,2013,"剧情,动作,犯罪","中国大陆, 中国香港"
野战排,8.2,1986,"动作,剧情,战争","美国, 英国"
辣手神探,7.9,1992,"动作,犯罪,剧情,惊悚",中国香港
与犯罪的战争：坏家伙的全盛时代,7.9,2012,"剧情,犯罪",韩国
四月三周两天,8.3,2007,剧情,罗马尼亚
为黛西小姐开车,8.3,1989,"喜剧,剧情",美国
我，花样女王,7.9,2017,"剧情,喜剧,传记,运动","英国, 美国, 卡塔尔"
酒精计划,7.8,2020,"剧情,喜剧","丹麦, 瑞典, 荷兰"
套装,7.9,2022,"剧情,犯罪,惊悚",美国
最好的时光,7.6,2005,"剧情,爱情",中国台湾
超市夜未眠,7.7,2006,"喜剧,剧情,爱情",英国
光辉岁月,8.6,2000,"剧情,传记,运动",美国
世界上最糟糕的人,7.9,2021,"剧情,喜剧,爱情","挪威, 法国, 瑞典, 丹麦"
回归,8.6,2003,"剧情,家庭",俄罗斯
密阳,8.0,2007,剧情,韩国
普吉岛的最后黄昏,8.8,2021,"剧情,喜剧,爱情,同性",泰国
致允熙,8.3,2019,"剧情,同性",韩国
亲切的金子,7.6,2005,"剧情,犯罪,惊悚",韩国
杀破狼2,7.5,2015,"剧情,动作,犯罪","中国香港, 中国大陆"
忠奸人,8.1,1997,"剧情,传记,犯罪",美国
海啸奇迹,7.8,2013,"剧情,灾难,家庭","西班牙, 泰国, 美国"
世上最美的离别,8.4,2011,"剧情,家庭",韩国
暴雨将至,8.6,1994,"剧情,战争","马其顿, 法国, 英国"
美国精神病人,7.8,2000,"犯罪,剧情,惊悚",美国
炙热,8.3,2015,剧情,"印度, 美国, 英国"
印度合伙人,7.7,2018,"剧情,喜剧,传记",印度
天鹅挽歌,8.1,2021,"剧情,科幻",美国
女朋友，男朋友,7.5,2012,"剧情,爱情,同性",中国台湾
茜茜公主3,8.4,1957,"剧情,历史,爱情",奥地利
东京奏鸣曲,8.1,2008,剧情,"日本, 荷兰, 中国香港"
座头市,8.1,2003,"动作,喜剧,犯罪,剧情,音乐",日本
流星语,8.6,1999,"喜剧,剧情",中国香港
浮城谜事,7.5,2012,"剧情,犯罪","中国大陆, 法国"
溺水小刀,7.6,2016,"剧情,爱情",日本
电话,7.6,2020,"剧情,悬疑,惊悚",韩国
彗星美人,8.7,1950,剧情,美国
穿裘皮的维纳斯,8.1,2013,剧情,"法国, 波兰"
猎凶风河谷,7.8,2017,"剧情,犯罪,悬疑","英国, 加拿大, 美国"
心理游戏,7.7,1997,"剧情,动作,悬疑,惊悚",美国
三毛流浪记,8.3,1949,"剧情,喜剧",中国大陆
欲望都市,7.7,2008,"喜剧,剧情,爱情",美国
长津湖,7.4,2021,"剧情,历史,战争","中国大陆, 中国香港"
图雅的婚事,8.0,2006,"剧情,爱情",中国大陆
扬名立万,7.4,2021,"剧情,喜剧,悬疑",中国大陆
天才一族,8.1,2001,"剧情,喜剧,家庭",美国
寻龙诀,7.4,2015,"剧情,动作,奇幻,冒险","中国大陆, 中国香港"
战略特勤组,7.9,2011,"剧情,悬疑,惊悚",美国
西葫芦的生活,8.5,2016,"剧情,儿童,动画","瑞士, 法国"
无声,7.8,2020,剧情,中国台湾
泰山,7.7,1999,"动画,冒险,剧情,家庭",美国
黄土地,7.9,1985,"剧情,音乐",中国大陆
奇迹·笨小孩,7.4,2022,剧情,中国大陆
壮志凌云,7.7,1986,"剧情,动作",美国
爱的曝光,8.3,2008,"动作,喜剧,剧情,爱情",日本
触不到的恋人,7.7,2006,"剧情,奇幻,爱情","美国, 澳大利亚"
虎兄虎弟,8.6,2004,"剧情,冒险","法国, 英国"
龙虾,7.6,2015,"剧情,喜剧,奇幻","爱尔兰, 英国, 希腊, 法国, 荷兰"
爱神,7.7,2004,"剧情,爱情,情色","意大利, 中国香港, 美国, 法国, 卢森堡, 英国"
危机13小时,7.8,2016,"剧情,动作,战争,惊悚",美国
细路祥,8.5,1999,剧情,中国香港
死亡医生,8.5,2010,"剧情,传记",美国
伊莎贝拉,7.6,2006,剧情,中国香港
吾栖之肤,7.6,2011,"剧情,悬疑,惊悚",西班牙
我这一辈子,8.8,1950,"剧情,历史",中国大陆
97古惑仔战无不胜,7.6,1997,"动作,剧情",中国香港
云中漫步,7.8,1995,"剧情,爱情","美国, 墨西哥"
水果硬糖,7.5,2006,"剧情,犯罪,惊悚",美国
搜索,7.4,2012,"剧情,悬疑",中国大陆
蜘蛛巢城,8.5,1957,"剧情,历史",日本
女人步上楼梯时,9.1,1960,剧情,日本
南方车站的聚会,7.4,2019,"剧情,犯罪","中国大陆, 法国"
舞出我人生,7.7,2009,"剧情,爱情,歌舞",美国
万里归途,7.4,2022,"剧情,战争",中国大陆
新难兄难弟,8.0,1993,"剧情,喜剧",中国香港
精英部队,8.0,2007,"剧情,动作,犯罪,惊悚","巴西, 美国, 阿根廷"
上甘岭,8.4,1956,"战争,剧情",中国大陆
深夜食堂2,8.0,2017,剧情,日本
以女儿之名,8.4,2016,"剧情,传记","法国, 德国"
丘奇先生,8.5,2016,"剧情,喜剧",美国
一江春水向东流,8.5,2017,剧情,中国大陆
真相至上,8.3,2008,"剧情,悬疑",美国
少女小渔,7.9,1995,剧情,中国台湾
大象,7.8,2003,"犯罪,剧情",美国
欲盖弄潮,8.1,2008,"剧情,爱情,同性",美国
沉默的教室,8.4,2018,"剧情,历史",德国
十二宫,7.5,2007,"剧情,传记,犯罪,悬疑,惊悚",美国
移魂女郎,8.2,1999,"传记,剧情","美国, 德国"
小兵张嘎,7.8,1963,"剧情,儿童,战争",中国大陆
自由作家,8.6,2007,"传记,犯罪,剧情","美国, 德国"
巴黎野玫瑰,8.1,1986,"剧情,爱情,情色",法国
游园惊梦,7.6,2001,"剧情,爱情,同性",中国香港
唐顿庄园2,8.2,2022,"剧情,爱情","英国, 美国"
青木瓜之味,7.8,1993,"剧情,音乐,爱情","越南, 法国"
闯入者,7.6,2015,"剧情,犯罪,惊悚",中国大陆
宋家皇朝,7.7,1997,"剧情,历史,爱情","中国大陆, 中国香港, 日本"
晚春,8.7,1949,"剧情,家庭",日本
纳尼亚传奇1：狮子、女巫和魔衣橱,7.5,2005,"剧情,奇幻,冒险","英国, 美国"
别让我走,7.7,2010,"剧情,爱情,科幻","英国, 美国"
杯酒人生,7.9,2004,"剧情,喜剧,爱情","美国, 匈牙利"
帝一之国,8.1,2017,"剧情,喜剧",日本
法兰西特派,7.7,2021,"剧情,喜剧","美国, 德国"
啊，荒野 前篇,8.4,2017,剧情,日本
手机,7.4,2003,"剧情,喜剧,家庭",中国大陆
摇滚红与黑,9.2,2016,"剧情,音乐,歌舞",法国
情不自禁,8.4,2001,剧情,中国大陆
边城,8.2,1992,剧情,中国大陆
追捕野蛮人,8.1,2016,"剧情,喜剧,冒险",新西兰
美少年之恋,7.5,1998,"剧情,爱情,同性",中国香港
鬼灭之刃 那田蜘蛛山篇,9.2,2020,"剧情,动作,奇幻",日本
任逍遥,7.9,2002,"喜剧,剧情","中国大陆, 法国, 日本, 韩国"
怒,7.7,2016,"剧情,爱情,悬疑,同性",日本
埃及王子,8.1,1998,"剧情,动画,冒险",美国
异度空间,7.5,2005,"剧情,恐怖",中国香港
法外之徒,8.6,1964,"犯罪,剧情",法国
瀑布,7.7,2021,剧情,中国台湾
秦颂,7.8,1996,"剧情,历史,古装","中国大陆, 中国香港"
牛仔裤的夏天,7.6,2005,"剧情,喜剧,爱情",美国
机械师,7.6,2004,"剧情,悬疑,惊悚","西班牙, 法国, 英国, 美国"
黄金时代,7.4,2014,"剧情,传记,爱情","中国大陆, 中国香港"
王者,7.8,2017,"剧情,动作,犯罪",韩国
军中乐园,7.5,2014,"剧情,历史,爱情","中国台湾, 中国大陆"
最爱,7.4,2011,"剧情,爱情","中国大陆, 中国香港"
青春派,7.4,2013,"剧情,爱情",中国大陆
蝴蝶,7.7,2004,"剧情,同性",中国香港
东京审判,7.5,2006,"犯罪,剧情,历史,战争",中国大陆
亲爱的伽利略,7.9,2009,"剧情,爱情",泰国
革命者,7.5,2021,"剧情,历史",中国大陆
蒙娜丽莎的微笑,7.9,2004,"剧情,爱情",美国
搭错车,8.3,1983,"剧情,音乐","中国香港, 中国台湾"
死者田园祭,8.9,1974,"剧情,奇幻",日本
圣殇,7.8,2012,剧情,韩国
我是布莱克,8.3,2016,剧情,"英国, 法国, 比利时"
云的彼端，约定的地方,7.7,2004,"动画,剧情,科幻",日本
女王,7.7,2006,"传记,剧情","英国, 法国, 意大利"
青少年哪吒,8.0,1992,剧情,中国台湾
学校风云,8.1,1988,"动作,犯罪,剧情,惊悚",中国香港
商海通牒,7.9,2011,剧情,美国
爱国者,8.2,2000,"动作,剧情,战争","美国, 德国"
伊豆的舞女,8.6,1974,剧情,日本
五至七时的克莱奥,8.7,1962,"喜剧,剧情,音乐","法国, 意大利"
美国黑帮,7.9,2007,"犯罪,剧情","美国, 英国"
雨月物语,8.6,1953,"剧情,战争,奇幻",日本
线人,7.4,2010,"动作,剧情,惊悚","中国香港, 中国大陆"
杀人者的记忆法,7.8,2017,"剧情,犯罪,悬疑,惊悚",韩国
纽约，我爱你,7.6,2008,"剧情,爱情",美国
寻找梦幻岛,7.9,2004,"传记,剧情,家庭","美国, 英国"
我们的世界,8.4,2016,"剧情,儿童",韩国
金都,7.7,2019,剧情,中国香港
夜间飞行,8.3,2014,"剧情,爱情,同性",韩国
双姝奇缘,8.7,1987,"剧情,喜剧",法国
邮差,8.8,1994,"传记,喜剧,剧情,爱情","意大利, 法国, 比利时"
空山灵雨,8.4,1979,"剧情,动作,武侠,古装",中国香港
局内人,7.7,2006,"剧情,犯罪,悬疑,惊悚",美国
巴顿将军,8.2,1970,"传记,剧情,战争",美国
人生大事,7.3,2022,"剧情,家庭","中国大陆, 中国香港"
内在美,7.6,2015,"剧情,爱情,奇幻",韩国
打开心世界,8.2,2020,"剧情,爱情,同性",美国
只有你,7.8,2011,"剧情,爱情",韩国
马利和我,7.9,2008,"剧情,喜剧,爱情",美国
女孩,8.1,2018,"剧情,同性","比利时, 荷兰"
热带雨,7.5,2019,剧情,"新加坡, 中国台湾"
实尾岛,8.1,2003,"动作,剧情",韩国
爱，简单,8.3,2014,"剧情,爱情,同性",巴西
收件人不详,8.3,2001,"剧情,战争",韩国
苔丝,8.2,1979,"剧情,爱情","法国, 英国"
不朽的园丁,7.9,2005,"剧情,悬疑,惊悚","英国, 德国, 美国, 中国大陆"
春娇与志明,7.3,2012,"剧情,喜剧,爱情","中国香港, 中国大陆"
真幌站前多田便利屋,8.2,2011,剧情,日本
魔术师,7.6,2006,"剧情,爱情,悬疑","美国, 捷克"
啊，荒野 后篇,8.6,2017,剧情,日本
风月,7.7,1996,"剧情,爱情","中国香港, 中国大陆"
弗兰克,7.9,2014,"剧情,喜剧,音乐","英国, 爱尔兰, 美国"
